Year,Week,Ranking,TV,movie_zh_name,category,director,imdb_score
2021,35,6,What's Wrong with Secretary Kim,金秘書為何那樣,"網路漫改, 浪漫, 喜劇, 書籍改編",NA,8.1
2021,35,7,Doctor John,天才醫生車耀漢,"醫學, 書籍改編, 社會議題",NA,8.1
2021,36,2,Hometown Cha-Cha-Cha,海岸村恰恰恰,"浪漫, 喜劇",Shin Ha-eun,8.5
2021,36,3,Hospital Playlist,機智醫生生活,醫療,Lee Woo-jung,8.8
2021,36,3,Hospital Playlist,機智醫生生活,醫療,Shin Won-ho,8.8
2021,36,5,Hotel Del Luna,德魯納酒店,"奇幻, 浪漫, 喜劇",Hong Jeong-eun,8.2
2021,36,5,Hotel Del Luna,德魯納酒店,"奇幻, 浪漫, 喜劇",Hong Mi Ran,8.2
2021,36,6,D.P.,D.P：逃兵追緝令,"網路漫改, 社會議題",Han Jun-hee,8.2
2021,36,6,D.P.,D.P：逃兵追緝令,"網路漫改, 社會議題",Kim Bo-tong,8.2
2021,36,7,Doctor John,天才醫生車耀漢,"醫學, 書籍改編, 社會議題",NA,8.1
2021,36,8,"Nevertheless,",無法抗拒的他,"網路漫改, 浪漫",Kim Ga-ram,7.2
2021,37,1,Hometown Cha-Cha-Cha,海岸村恰恰恰,"浪漫, 喜劇",Shin Ha-eun,8.5
2021,37,2,Hospital Playlist,機智醫生生活,醫療,Lee Woo-jung,8.8
2021,37,2,Hospital Playlist,機智醫生生活,醫療,Shin Won-ho,8.8
2021,37,4,Hotel Del Luna,德魯納酒店,"奇幻, 浪漫, 喜劇",Hong Jeong-eun,8.2
2021,37,4,Hotel Del Luna,德魯納酒店,"奇幻, 浪漫, 喜劇",Hong Mi Ran,8.2
2021,37,6,D.P.,D.P：逃兵追緝令,"網路漫改, 社會議題",Han Jun-hee,8.2
2021,37,6,D.P.,D.P：逃兵追緝令,"網路漫改, 社會議題",Kim Bo-tong,8.2
2021,37,8,Squid Game,魷魚遊戲,驚悚,Hwang Dong-hyuk,8
2021,38,1,Squid Game,魷魚遊戲,驚悚,Hwang Dong-hyuk,8
2021,38,2,Hometown Cha-Cha-Cha,海岸村恰恰恰,"浪漫, 喜劇",Shin Ha-eun,8.5
2021,38,3,Hospital Playlist,機智醫生生活,醫療,Lee Woo-jung,8.8
2021,38,3,Hospital Playlist,機智醫生生活,醫療,Shin Won-ho,8.8
2021,38,6,Hotel Del Luna,德魯納酒店,"奇幻, 浪漫, 喜劇",Hong Jeong-eun,8.2
2021,38,6,Hotel Del Luna,德魯納酒店,"奇幻, 浪漫, 喜劇",Hong Mi Ran,8.2
2021,38,8,D.P.,D.P：逃兵追緝令,"網路漫改, 社會議題",Han Jun-hee,8.2
2021,38,8,D.P.,D.P：逃兵追緝令,"網路漫改, 社會議題",Kim Bo-tong,8.2
2021,38,9,Mad Dog,瘋狗,"犯罪, 驚悚",Kim Soo-jin,7.7
2021,38,9,Mad Dog,瘋狗,"犯罪, 驚悚",Hwang Eui-kyung,7.7
2021,39,1,Squid Game,魷魚遊戲,驚悚,Hwang Dong-hyuk,8
2021,39,10,Mad Dog,瘋狗,"犯罪, 驚悚",Kim Soo-jin,7.7
